"filename", "language", "YAML", "JSON", "Markdown", "TypeScript JSX", "TypeScript", "XML", "Prisma", "PostCSS", "comment", "blank", "total"
"d:\Информатика\online-shop\back-end\src\auth\password-recovery\password-recovery.controller.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 5, 38
"d:\Информатика\online-shop\back-end\src\auth\password-recovery\password-recovery.module.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"d:\Информатика\online-shop\back-end\src\auth\password-recovery\password-recovery.service.ts", "TypeScript", 0, 0, 0, 0, 104, 0, 0, 0, 0, 24, 128
"d:\Информатика\online-shop\back-end\src\auth\provider\provider.constans.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"d:\Информатика\online-shop\back-end\src\auth\provider\provider.module.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 4, 42
"d:\Информатика\online-shop\back-end\src\auth\provider\provider.service.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"d:\Информатика\online-shop\back-end\src\auth\provider\services\base-oauth.service.ts", "TypeScript", 0, 0, 0, 0, 96, 0, 0, 0, 0, 23, 119
"d:\Информатика\online-shop\back-end\src\auth\provider\services\google.provider.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 4, 47
"d:\Информатика\online-shop\back-end\src\auth\provider\services\types\base-provider.options.types.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Информатика\online-shop\back-end\src\auth\provider\services\types\provider-options.types.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Информатика\online-shop\back-end\src\auth\provider\services\types\user-info.types.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\Информатика\online-shop\back-end\src\auth\two-factor-auth\two-factor-auth.module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"d:\Информатика\online-shop\back-end\src\auth\two-factor-auth\two-factor-auth.service.ts", "TypeScript", 0, 0, 0, 0, 83, 0, 0, 0, 0, 19, 102
"d:\Информатика\online-shop\back-end\src\banner\banner.controller.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 10, 62
"d:\Информатика\online-shop\back-end\src\banner\banner.module.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"d:\Информатика\online-shop\back-end\src\banner\banner.service.ts", "TypeScript", 0, 0, 0, 0, 66, 0, 0, 0, 0, 17, 83
"d:\Информатика\online-shop\back-end\src\banner\dto\banner.dto.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 9, 46
"d:\Информатика\online-shop\back-end\src\cart\cart.controller.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 0, 0, 0, 11, 73
"d:\Информатика\online-shop\back-end\src\cart\cart.module.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"d:\Информатика\online-shop\back-end\src\cart\cart.service.ts", "TypeScript", 0, 0, 0, 0, 130, 0, 0, 0, 0, 32, 162
"d:\Информатика\online-shop\back-end\src\cart\dto\add-to-cart.dto.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"d:\Информатика\online-shop\back-end\src\cart\dto\merge-cart.dto.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\Информатика\online-shop\back-end\src\cart\dto\update-cart-item.dto.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\Информатика\online-shop\back-end\src\category\category.controller.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 8, 44
"d:\Информатика\online-shop\back-end\src\category\category.module.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"d:\Информатика\online-shop\back-end\src\category\category.service.ts", "TypeScript", 0, 0, 0, 0, 72, 0, 0, 0, 0, 19, 91
"d:\Информатика\online-shop\back-end\src\category\dto\create-category.dto.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"d:\Информатика\online-shop\back-end\src\category\dto\update-category.dto.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"d:\Информатика\online-shop\back-end\src\cloudinary\cloudinary.controller.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"d:\Информатика\online-shop\back-end\src\cloudinary\cloudinary.module.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"d:\Информатика\online-shop\back-end\src\cloudinary\cloudinary.service.ts", "TypeScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 15, 75
"d:\Информатика\online-shop\back-end\src\config\mailer.config.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"d:\Информатика\online-shop\back-end\src\config\providers.config.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"d:\Информатика\online-shop\back-end\src\config\recaptcha.config.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"d:\Информатика\online-shop\back-end\src\currency\currency.controller.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"d:\Информатика\online-shop\back-end\src\currency\currency.module.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"d:\Информатика\online-shop\back-end\src\currency\currency.service.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 0, 14, 54
"d:\Информатика\online-shop\back-end\src\express-session.d.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\Информатика\online-shop\back-end\src\libs\common\decorators\is-passwords-matching-constraint.decorator.decorator.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"d:\Информатика\online-shop\back-end\src\libs\common\utils\is-dev.util.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"d:\Информатика\online-shop\back-end\src\libs\common\utils\ms.util.ts", "TypeScript", 0, 0, 0, 0, 104, 0, 0, 0, 0, 8, 112
"d:\Информатика\online-shop\back-end\src\libs\common\utils\parse-boolean.util.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
